Date,Open,High,Low,Close,Adj Close,Volume
8/10/2016,16699.08008,16822.85938,16657.58984,16735.11914,16735.11914,113800000
8/12/2016,16877.17969,16943.66992,16818.42969,16919.91992,16919.91992,119100000
8/15/2016,16866.89063,16932.10938,16844.58008,16869.56055,16869.56055,83700000
8/16/2016,16878.66016,16887.57031,16596.50977,16596.50977,16596.50977,110000000
8/17/2016,16596.25977,16772.10938,16596.25977,16745.64063,16745.64063,117400000
8/18/2016,16649.91016,16714.60938,16481.41016,16486.00977,16486.00977,130400000
8/19/2016,16558.38086,16613.03906,16452.61914,16545.82031,16545.82031,121900000
8/22/2016,16599.25977,16631.23047,16540.93945,16598.18945,16598.18945,95300000
8/23/2016,16549.82031,16663.64063,16452.00977,16497.35938,16497.35938,107600000
8/24/2016,16550.21094,16648.07031,16544.39063,16597.30078,16597.30078,91100000
8/25/2016,16580.15039,16628.78906,16520.83984,16555.94922,16555.94922,92900000
8/26/2016,16485.55078,16490.5293,16320.42969,16360.70996,16360.70996,104600000
8/29/2016,16631.06055,16764.64063,16616.65039,16737.49023,16737.49023,113900000
8/30/2016,16690.98047,16752.16016,16677.84961,16725.35938,16725.35938,103700000
8/31/2016,16857.83008,16917.85938,16836.96094,16887.40039,16887.40039,150300000
9/1/2016,16885.16016,16941.17969,16864.56055,16926.83984,16926.83984,131500000
9/2/2016,16903.7793,16946.49023,16848.11914,16925.67969,16925.67969,116200000
9/5/2016,17131.51953,17156.35938,17009.21094,17037.63086,17037.63086,127400000
9/6/2016,17035.0293,17097.58984,17022.64063,17081.98047,17081.98047,108300000
9/7/2016,16937.38086,17024.25977,16903.19922,17012.43945,17012.43945,132500000
9/8/2016,16984,17001.83984,16836.65039,16958.76953,16958.76953,111300000
9/9/2016,16994.36914,17029.7793,16902.08984,16965.75977,16965.75977,123900000
9/12/2016,16748.35938,16802,16601.53906,16672.91992,16672.91992,112800000
9/13/2016,16764.65039,16787.06055,16658.40039,16729.03906,16729.03906,98200000
9/14/2016,16632.06055,16706.60938,16585.80078,16614.24023,16614.24023,116300000
9/15/2016,16512.41992,16528.01953,16359.78027,16405.00977,16405.00977,117800000
9/16/2016,16458.74023,16532.83984,16415.85938,16519.28906,16519.28906,127100000
9/20/2016,16403.2207,16591.69922,16403.2207,16492.15039,16492.15039,121500000
9/21/2016,16471.84961,16823.63086,16399.65039,16807.61914,16807.61914,191100000
9/23/2016,16759.83984,16808.58984,16725.5293,16754.01953,16754.01953,138000000
9/26/2016,16707.44922,16707.44922,16514.92969,16544.56055,16544.56055,102900000
9/27/2016,16390.91016,16683.92969,16285.41016,16683.92969,16683.92969,157100000
9/28/2016,16504.99023,16515.83984,16385.0293,16465.40039,16465.40039,112200000
9/29/2016,16606.30078,16756.42969,16584.14063,16693.71094,16693.71094,122700000
9/30/2016,16474.44922,16497.55078,16407.7793,16449.83984,16449.83984,124400000
10/3/2016,16566.0293,16652.16016,16554.83008,16598.66992,16598.66992,99200000
10/4/2016,16661.50977,16747.19922,16637.82031,16735.65039,16735.65039,100300000
10/5/2016,16787.89063,16844.34961,16728.18945,16819.24023,16819.24023,115100000
10/6/2016,16913.59961,16971.2793,16888.76953,16899.09961,16899.09961,110600000
10/7/2016,16883.11914,16895.13086,16820.21094,16860.08984,16860.08984,100300000
10/11/2016,16936.31055,17074.46094,16931.11914,17024.75977,17024.75977,111600000
10/12/2016,16850.73047,16951.53906,16839.41016,16840,16840,116300000
10/13/2016,16923.82031,16974.25,16739.73047,16774.24023,16774.24023,111100000
10/14/2016,16751.03906,16866.56055,16727.7793,16856.36914,16856.36914,109400000
10/17/2016,16871.83984,16954.43945,16821.49023,16900.11914,16900.11914,95100000
10/18/2016,16862.31055,16966.90039,16844.16992,16963.60938,16963.60938,98600000
10/19/2016,16952.91016,17016.66016,16938.46094,16998.91016,16998.91016,101700000
10/20/2016,16999.35938,17235.5,16992.14063,17235.5,17235.5,112400000
10/21/2016,17283.75,17288.89063,17151.98047,17184.58984,17184.58984,114200000
10/24/2016,17216.56055,17244.74023,17162.21094,17234.41992,17234.41992,87700000
10/25/2016,17298.63086,17381.80078,17298.63086,17365.25,17365.25,108400000
10/26/2016,17329.0293,17391.83984,17295.46094,17391.83984,17391.83984,98100000
10/27/2016,17346.39063,17414.21094,17278.11914,17336.41992,17336.41992,107600000
10/28/2016,17448.25,17461.0293,17406.7207,17446.41016,17446.41016,167900000
10/31/2016,17360.89063,17433.13086,17327.61914,17425.01953,17425.01953,157200000
11/1/2016,17380.53906,17473.11914,17339.64063,17442.40039,17442.40039,123000000
11/2/2016,17238,17283.59961,17080.58984,17134.67969,17134.67969,135200000
11/4/2016,16964.5,16996.08984,16801.98047,16905.35938,16905.35938,134800000
11/7/2016,17126.0293,17186.89063,17056.83984,17177.21094,17177.21094,113000000
11/8/2016,17242.69922,17247.03906,17130.83008,17171.38086,17171.38086,100000000
11/9/2016,17281.94922,17427.71094,16111.80957,16251.54004,16251.54004,274900000
